"establecimiento","tipo","distribución-testeo","calle","altura","piso_depto","cruce","barrio_localidad","partido_comuna_dpto","provincia","región sanitaria","teléfono","horario atención","web","mail","unidad coordinadora","responsable","UC mail","UC web","observaciones","latitude","longitude","confidence","fail"
"Centro de Salud Nº 2","","","66","","","14","Los Hornos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9139527","-57.9216362","0.9",""
"Centro de Salud Nº 3","","","45","","","e/ 146 y 147","San Carlos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8676352","-57.9095636","0.9",""
"Centro de Salud Nº 4","","","Camino Centenario","","","y Arana","Villa Elisa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8535847","-58.07924849999999","0.5",""
"Centro de Salud Nº 5","","","12","","","19","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9055582","-57.97355979999999","0.9",""
"Centro de Salud Nº 6","","","123","","","e/ 80 y 81","Villa Elvira","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8958113","-57.94974909999999","0.9",""
"Centro de Salud Nº 7","","","7","","","82","Villa Elvira","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9017621","-57.9669906","1",""
"Centro de Salud Nº 8","","","20","","","85","San Lorenzo","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9141125","-57.98050139999999","0.9",""
"Centro de Salud Nº 9","","","528 Bis","","","2 Bis","Tolosa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9204948","-57.95356570000001","0.5",""
"Centro de Salud Nº 10","","","208","","","516","Abasto","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-38.0032984","-57.6009597","0.9",""
"Centro de Salud Nº 11","","","143","","","414 Bis","Arturo Seguí","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.895117","-57.96588449999999","0.9",""
"Centro de Salud Nº 12","","","138","","","481","Gorina","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.92593","-58.0066774","0.9",""
"Centro de Salud Nº 13","","","41","","","e/ 10 y 1","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9034244","-57.97198839999999","0.9",""
"Centro de Salud Nº 14","","","16","","","e/ 529 y 530","Tolosa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9179777","-57.9662421","1",""
"Centro de Salud Nº 15","","","520","","","118","Tolosa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8803217","-57.9714912","0.9",""
"Centro de Salud Nº 16","","","66","","","e/ 173 y 174","Los Hornos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9127544","-57.9202384","0.9",""
"Centro de Salud Nº 17","","","449","","","27","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9269109","-57.97928270000001","0.9",""
"Centro de Salud Nº 18","","","45","","","e/ 187 y 188 Bis","Olmos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8948461","-57.9663066","0.9",""
"Centro de Salud Nº 19","","","4","","","612","Villa Elvira","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9081076","-57.9518961","0.9",""
"Centro de Salud Nº 20","","","139","","","e/ 33 y 34","Romero","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8904646","-57.9557701","0.9",""
"Centro de Salud Nº 21","","","131","","","e/ 639 y 640","San Lorenzo","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9404821","-57.9711793","0.9",""
"Centro de Salud Nº 22 (Estación Ignacio Correa)","Centro de Atención Primaria de la Salud","","29","","","696","La Plata","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9328682","-57.9757322","0.9",""
"Centro de Salud Nº 23","Centro de Atención Primaria de la Salud","","53","","","228","Etcheverry","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.868925","-57.9136506","0.9",""
"Centro de Salud Nº 24","Centro de Atención Primaria de la Salud","","Ruta 2","Km 44,5","","","Barrio El Peligro","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-37.9645444","-57.57810259999999","0.9",""
"Centro de Salud Nº 25","","","514","","","12","Ringuelet","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9138896","-57.96233960000001","0.9",""
"Centro de Salud Nº 26","","","122","","","605","Villa Elvira","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8972749","-57.94048340000001","0.9",""
"Centro de Salud Nº 27","","","526","","","e/ 24 y 25","Tolosa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9168579","-57.9857854","0.9",""
"Centro de Salud Nº 28","","","10","","","491","Gonnet","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9116788","-57.9610128","1",""
"Centro de Salud Nº 29 (República de los Niños)","","","Camino Gral Belgrano y 500","","","500","Gonnet","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8993774","-57.977885","0.9",""
"Centro de Salud Nº 31","","","186","","","492","Romero","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-37.9636731","-57.5902944","0.9",""
"Centro de Salud Nº 32","","","131","","","510","Hernández","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9552573","-57.950343","0.7",""
"Centro de Salud Nº 33","","","143","","","520","Romero","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9303706","-58.0123109","0.9",""
"Centro de Salud Nº 34","","","156","","","e/ 528 y 529","","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8781487","-57.8952805","0.9",""
"Centro de Salud Nº 35","","","99","","","121","Villa Elvira","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9410702","-57.89323330000001","0.9",""
"Centro de Salud Nº 36","","","412","","","29","Villa Elisa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.928133","-57.9821126","0.9",""
"Centro de Salud Nº 37","","","137","","","e/ 79 y 80","Los Hornos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9146543","-57.92426409999999","0.9",""
"Centro de Salud Nº 38","","","7","","","477","City Bell","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9086975","-57.9581089","0.9",""
"Centro de Salud Nº 39","","","412","","","e/ 116 y 117","Villa Elisa","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8950986","-57.95810220000001","1",""
"Centro de Salud Nº 41","","","84","","","e/ 131 y 132","San Lorenzo","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9345133","-57.9110022","0.9",""
"Centro de Salud Nº 42","","","149","","","e/ 35 y 36","San Carlos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8890012","-57.95054","0.9",""
"Centro de Salud Nº 43","","","8","","","632","Villa Elvira","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.9121443","-57.95553229999999","0.9",""
"Centro de Salud Nº 44","","","145","","","e/ 59 y 60","Los Hornos","La Plata","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.8748495","-57.91202699999999","0.9",""
"Centro de Medicina Preventiva Dr. René Favaloro","","","Sitio de Montevideo","1862","","","Lanús","Lanús","Buenos Aires","Región Sanitaria VI","011-4241-2204/8111","","","","","","","","","-34.7113807","-58.3815086","0.9",""
"Hospital Zonal General de Agudos “Dr. Narciso López”","","","O´Higgins","1333","","","Lanús","Lanús","Buenos Aires","Región Sanitaria VI","4241-2749/4184/4240","","","","","","","","","-34.7038703","-58.38241180000001","0.9",""
"Hospital: Servicio Zonal de Oncología de","","","Pringles","1245","","","Lanús","Lanús","Buenos Aires","Región Sanitaria VI","4241-2968","","","","","","","","","-34.7031887","-58.3826753","0.9",""
"Hospital Interzonal General de Agudos “Evita”","","","Rio de Janeiro","1910","","","Lanús","Lanús","Buenos Aires","Región Sanitaria VI","4241-5186 al 89/ 5844/4050 al 59","","","","","","","","","-34.6963417","-58.4000694","1",""
"Hospital Local General de Agudos “Dr.\r\nArturo Melo”","","","Avda Lujan","3050","","","Remedios De Escalada","Lanús","Buenos Aires","Región Sanitaria VI","4246-0868/6491/0608/4525/4530","","","","","","","","","-34.6994171","-58.39263150000001","0.5",""
"Hospital Municipal “Dr. Francisco Quijano”","","distribución y testeo","Desvío Ruta 57","S/N","","","Lezama","Lezama","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.8754921","-57.89803310000001","0.5",""
"Hospital Municipal Dr. Rubén Miravalle","","Testeo","Avenida San Lorenzo","2000, 6070","","","Lincoln","Lincoln","Buenos Aires","Región Sanitaria III","(02355) 421400-421600","","","","","","","","","-34.8667441","-61.54562070000001","0.9",""
"Hospital Interzonal General de Agudos “Luisa C. de Gandulfo “","","","Balcarce","351","","","Lomas de Zamora","Lomas de Zamora","Buenos Aires","Región Sanitaria VI","011-42435555","","","","","","","","","-34.7617181","-58.39292","0.9",""
"Hospital Interzonal Especializado “Dr. J.A. Estevez”","","","Garibaldi","1661","","","Lomas de Zamora","Lomas de Zamora","Buenos Aires","Región Sanitaria VI","4298-1931/0091 al 93/4873","","","","","","","","","-34.7792365","-58.42009299999999","0.9",""
"Unidad Sanitaria Araoz Alfaro Municipalidad\r\nde Lomas de Zamora","","","H.Yrigoyen","10067","","","Temperley","Lomas de Zamora","Buenos Aires","Región Sanitaria VI","011-42399689","","","","","","","","","-34.8171319","-58.4658826","0.7",""
"Hospital Local Materno Infantil Oscar Alende","","","Claudio De Alas","2584","","","Ingeniero Budge","Lomas de Zamora","Buenos Aires","Región Sanitaria VI","4285-1816","","","","","","","","","-34.7149253","-58.4672442","0.9",""
"Hosp.Municipal Ntra Sra de Luján","","","San Martín","175","","","Luján","Luján","Buenos Aires","","(02323) 4424- 870","","","","","","","","","-34.5643879","-59.11965980000001","0.9",""
"Hospital Interzonal Especializado Colonia (Opendoor)","","","Av. Domingo Cabret","","","y Juan De Dios Filiberto","Luján","Luján","Buenos Aires","","(02323) 449-6061/6247/6249","","","","","","","","","-34.5041109","-59.0752258","0.7",""
"Hospital Municipal Subzonal “Santa María Magdalena\"","","distribución y testeo","Las Heras","385","","","Magdalena","Magdalena","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.0825286","-57.50969600000001","0.7",""
"Hospital Subzonal de Médanos","","Testeo","Matheu S/N","","","","Médanos","Médanos","Buenos Aires","Región Sanitaria I","(02927) 432268","","","","","","","","","-38.8283463","-62.6936417","0.5",""
"Hospital Zonal General “Blas Dubarry”","","","12","285","","","Mercedes","Mercedes","Buenos Aires","Región Sanitaria X","(02324) 425555 / 423618","","","","","","","","","-34.6572614","-59.4255509","0.9",""
"Hospital Municipal Eva Perón","","","Colón","451","","","Merlo","Merlo","Buenos Aires","","","","","","","","","","","-34.6683857","-58.72249299999999","0.9",""
"Hospital Héroes de Malvinas","","","R. Balbin","1910","","","Merlo","Merlo","Buenos Aires","","","","","","","","","","","-34.669143","-58.7428497","0.9",""
"Hospital Materno / Infantil Pontevedra","","","Capitán Giachino","2220","","","Pontevedra","Merlo","Buenos Aires","","(0220) 492 - 0242","","","","","","","","","-34.750718","-58.700852","1",""
"Hospital Municipal Materno Infantil Pedro Chutro","","","Chubut","368","","","S.A. de Padua","Merlo","Buenos Aires","","(0220) 482 - 2309","","","","","","","","","-34.6682602","-58.69654719999999","0.9",""
"Hospital Zonal General “Mariano y Luciano\r\nDe La Vega”","","","Libertador","710","","","Moreno","Moreno","Buenos Aires","","(0237) 42-5946 /5954/0038","","","","","","","","","-34.6414293","-58.7882788","0.9",""
"Hospital Interzonal General de Agudos “Dr. Luis A. Güemes”","","","Rivadavia 15000","710","","","Haedo","Morón","Buenos Aires","","4659-2011 / 2018 Int 167","","","","","","","","","-34.6429568","-58.5789424","0.9",""
"Hospital Nacional Prof. Dr. A. Posadas","","","Marconi","","","y Pte. Illia","Villa Sarmiento","Morón","Buenos Aires","","","","","","","","","","","-34.6558611","-58.6167212","0.5",""
"Hospital de Morón","","","Dr. Monte","838","consultorio 38 (PB)","","Morón","Morón","Buenos Aires","","4627-2986","Martes, jueves y viernes, de 11 a 13 hs\n1º viernes de cada mes, vespertino de\n19 a 21 hs. Extracción en el momento de la asesoría\r\ny el resultado está a la semana.","","","","","","","","-34.6586129","-58.6103082","0.9",""
"Hospital Emilio Ferreira","","","59","480","","","Necochea","Necochea","Buenos Aires","Región Sanitaria VIII","02262-428463","","","","","","","","","-38.5702191","-58.7185486","0.9",""
"Hospital Irurzún","","","541","3550","","","Quequen","Necochea","Buenos Aires","Región Sanitaria VIII","02262-450050","","","","","","","","","-38.5453222","-58.7168758","0.9",""
"Hospital Local Especializado en Salud Mental","","","5","S/N","","","Hinojo","Olavarría","Buenos Aires","Región Sanitaria IX","02284-49-1052","","","","","","","","","-34.6453949","-58.3928366","0.7",""
"Hospital Subzoanl General","","","Int. Guaresti","S/N","","","Las Flores","Olavarría","Buenos Aires","Región Sanitaria IX","02284-42893 /2114","","","","","","","","","-36.8937167","-60.32334989999999","0.5",""
"Hospital Zonal Especializado de Oncología “Luciano Fortabat”","","","Rivadavia","4057","","","Olavarría","Olavarría","Buenos Aires","Región Sanitaria IX","","","","","","","","","","-36.8853937","-60.31171670000001","0.9",""
"Hospital Pedro Luro","","Testeo","26","81","","","Pedro Luro","Pedro Luro","Buenos Aires","Región Sanitaria I","(02928) 420185","","","","","","","","","-39.45","-62.66667","0.5",""
"Hospital Interzonal General De Agudos “San José\"","","","Liniers","950","","","Pergamino","Pergamino","Buenos Aires","Región Sanitaria IV","(02477) 42-9791 Al 99 (02477) 42-4183","","","","","","","","","-33.9111211","-60.5824284","0.9",""
"Hospital Municipal de Pila","","distribución y testeo","6","","","esq. 11","Pila","Pila","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.1783883","-59.0974556","0.5",""
"Hospital Zonal Gral de Agudos “Cecilia Grierson\"","","distribución y testeo","Av Gral. Fernández de la Cruz","4402","","","Guernica","Presidente Perón","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-34.6036844","-58.3815591","0.5",""
"Hospital Municipal de La Comunidad “Dr. Guillermo Hernández”","","distribución y testeo","Base Aeronaval","","","","Punta Indio","Punta Indio","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.2743492","-57.26073839999999","0.5",""
"Hospital Zonal General de Agudos “Dr I.\nIriarte”","","","Allison Bell","770","","","Quilmes","Quilmes","Buenos Aires","Región Sanitaria VI","4253-2690/6021 al 23","","","","","","","","","-34.7204387","-58.2469456","0.9",""
"Instituto Municipal de Medicina Preventiva\r\nDr. R. Carrillo","","","Marcelo T. Alvear","","","esq. Islas Malvinas","Quilmes","Quilmes","Buenos Aires","Región Sanitaria VI","011- 4224-5636/ 4224-5634 / 4253-7733 / 4253-7923","","","","","","","","","-34.7267383","-58.2697319","0.5",""
"Centro Asistencial Modelo Don Bosco","","","Pringles 1010","","","e/ Misiones y Formosa","Don Bosco","Quilmes","Buenos Aires","Región Sanitaria VI","Fax: 4251-6395\r\nTel: 4251-6396","","","","","","","","","-34.7206336","-58.25460510000001","0.5",""
"Hospital Subzonal Materno Infantil Dr. Oller","","","844","2100","","","San Francisco Solano","Quilmes","Buenos Aires","Región Sanitaria VI","011-4212-2976","","","","","","","","","-34.74204539999999","-58.23189250000001","0.9",""
"Hospital Municipal José Gomendio","","","J. M. Gomendio","1374","","","Ramallo","Ramallo","Buenos Aires","Región Sanitaria IV","(03407)-421555/421666","","","","","","","","","-33.4900463","-60.00701699999999","0.9",""
"Hospital Municipal de Rauch","","","Alberti","450","","","Rauch","Rauch","Buenos Aires","Región Sanitaria IX","02297-44-2620","","","","","","","","","-36.7807519","-59.08580130000001","0.9",""
"Servicio Local de Psiquiatría para Crónicos “Eliseo Mañay”","","","Colón","S/N","","","Rauch","Rauch","Buenos Aires","Región Sanitaria IX","02286-49-4002/4202","","","","","","","","","-36.7750435","-59.08003229999999","0.7",""
"Hospital Geriátrico para Crónicos","","","Irigoyen","","","Otaño","Rauch","Rauch","Buenos Aires","Región Sanitaria IX","02297-42075","","","","","","","","","-36.7749176","-59.0897865","0.5",""
"Hospital Saturnino Unzué","","","Avda. 25 De Mayo","717","","","Rojas","Rojas","Buenos Aires","Región Sanitaria IV","(02475)-465342 / 465316 / 465410","","","","","","","","","-34.1956504","-60.73815750000001","0.9",""
"Hospital Zonal General “Dr Posadas”","","","Dr. Emparanza","2753","","","Saladillo","Saladillo","Buenos Aires","Región Sanitaria X","","","","","","","","","","-35.6379895","-59.7712947","0.9",""
"Hospital Local Gral.","","","Libertad 520","2753","","","Salto","Salto","Buenos Aires","Región Sanitaria IV","(02474)-425083 / 431020","","","","","","","","","-34.2971218","-60.25294700000001","0.7",""
"Hospital Municipal Local Emilio Zerboni","","","Lavalle","S/N","","","San Antonio de Areco","San Antonio de Areco","Buenos Aires","Región Sanitaria IV","(02326)-452391 / 452345","","","","","","","","","-34.2431518","-59.4743369","0.7",""
"Hospital Municipal “Valentín Nores”","","","Maipú","","","Casareto","Tigre","San Fernando","Buenos Aires","Región Sanitaria V","4731-7600","","","","","","","","","-34.4430618","-58.55796429999999","0.5",""
"Centro de Orientación Social","","","Ayacucho","1432","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4746-4523","","www.facebook.com/vihsanfernando","vih@sanfernando.gov.ar","","Responsable: Mariano Schettini","","","","-34.44383","-58.5566818","0.9",""
"Centro De Salud Bertres","","","Azcuénaga","1745","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4714-6214","","","","","Responsable: Adriana Bravo","","","","-34.4583328","-58.576513","0.9",""
"Centro de Salud Gálvez","","","Portugal","2276","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4714-1664","","","","","Responsable: Jorge Kavic","","","","-34.4691123","-58.58703120000001","0.9",""
"Centro de Salud Reineke","","","Alvear","","","Cerbetto","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","Tel: 4746-4132","","","","","Responsable: Cynthia Sánchez","","","","-34.4430618","-58.55796429999999","0.5",""
"Centro de Salud Di Matteo","","","Sarmiento","","","3244","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4744-1718","","","","","Responsable: Lidia Cáseres","","","","-34.4506703","-58.5736331","1",""
"Centro de Salud Nº 66","","","Balcarce","","","2959","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4714-5159","","","","","Responsable: Andrea Pérez / Paula Ponte","","","","-34.4693564","-58.57448040000001","0.9",""
"Centro de Salud Crisol","","","Martín Rodríguez","","","Tucumán","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4746-4126","","","","","Responsable: Mariana Vila","","","","-34.4514556","-58.5581185","0.7",""
"Centro de Salud Piaggi","","","Málaga","","","Garibaldi","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4714-7094","","","","","Responsable: Ma. del Carmen De Filippis","","","","-34.4736207","-58.5981457","0.7",""
"Centro de Salud María Isabel","","","Arenales","3220","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4746-1941","","","","","Marisa Barroso / Pablo Reyes","","","","-34.4561012","-58.5690992","0.9",""
"Centro de Salud Nº 31","","","Garibaldi","2727","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4746-3921","","","","","Responsable: Paula Ponte / Olga Abriola","","","","-34.4575194","-58.5601401","0.9",""
"Centro Sanitario Villa Jardín","","","Guatemala","3069","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4714-6746 / 8746","","","","","Responsable: Catalina Gerase","","","","-34.4767385","-58.58589999999999","0.9",""
"Centro de Salud Nº 26","","","Maipú","2354","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4746-4132","","","","","Responsable: Ma. Del Carmen De Filippis","","","","-34.451488","-58.56237699999999","0.9",""
"Centro de Salud Nº 27","","","25 De Mayo","2290","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4744-3138","","","","","Responsable : Mariana Vila","","","","-34.446511","-58.56703289999999","0.9",""
"Hospital Zonal General de Agudos “Magdalena V De Martínez “","","","Williams","166","","","Tigre","San Fernando","Buenos Aires","Región Sanitaria V","4736-0132/0154","","","","","","","","","-34.6442728","-58.6984023","0.7",""
"Hospital Zonal General de Agudos “Petrona V. De Cordero”","","","Belgrano","1955","","","San Fernando","San Fernando","Buenos Aires","Región Sanitaria V","4744-2693/5885/2624/3374/4557/4750","","","","","","","","","-34.4483085","-58.55203479999999","0.9",""
"Region Sanitaria Nº5 San Isidro","","","Acassuso","715","","","San Isidro","San Isidro","Buenos Aires","Región Sanitaria V","4747 2885","","","","","","","","","-34.4675425","-58.51589019999999","0.9",""
"Unidad Sanitaria Nº 8, Héroes de Malvinas","","","Av. Luis María Campos","2152","","","San Martín","San Martín","Buenos Aires","Región Sanitaria V","4830-0708","Consejería Martes 10.30 a 12 hs.","","","","","","","","-34.57595060000001","-58.5372696","0.5",""
"Hospital Interzonal General de Agudos “Eva Perón\"","","","Balbín","900","","","San Martín","San Martín","Buenos Aires","Región Sanitaria V","4724-3000 al 4724-3010","","","","","","","","","-34.5552928","-58.4940806","0.7",""
"Unid. Sanit. Nº 6, Barrio Libertador","","","Pensamientos","5231","","","Barrio Libertador","San Martín","Buenos Aires","Región Sanitaria V","4513-5122","Consejería Miércoles 10 a 12 hs.","","","","","","","","-34.5519879","-58.5908698","0.9",""
"Centro de Salud Nº 14 Barrio UTA","","","Bartolomé Mitre (calle 39)","1253","","","Loma Hermosa","San Martín","Buenos Aires","Región Sanitaria V","4513 5120 / 4513 5124","","","","","","","","","-34.5489972","-58.50055459999999","0.9",""
"Centro de Salud Nº 9 Billinghurst","","","1º Junta","5745","","","Billinghurst","San Martín","Buenos Aires","Región Sanitaria V","4512 7040","Consejería Miércoles 9 a 12 hs.","","","","","","","","-34.5738243","-58.5740663","1",""
"Hospital Local Alexander Fleming","","","Av. Márquez","","","9 de Julio","José León Suárez","San Martín","Buenos Aires","Región Sanitaria V","4580-1045/1050","Consejería Lunes A Viernes 8 a 12 hs. Viernes 19 a 21.30 hs.","","","","","","","","-34.57595060000001","-58.5372696","0.5",""
"Centro Salud Nº 4 - Dr. Luis Agote","","","Diag. 55 J.V.González","50","","","José León Suárez","San Martín","Buenos Aires","Región Sanitaria V","4580-1057/1056","Martes 10 a 12 hs.","","","","","","","","-34.57595060000001","-58.5372696","0.5",""
"Centro De Salud Nº10, V. Esperanza","","","Garibaldi","1897","","","José León Suárez","San Martín","Buenos Aires","Región Sanitaria V","4580-1042","Consejería: Lunes, Martes, Miércoles 8.30 a 14 hs.","","","","","","","","-34.6172696","-58.53393469999999","0.9",""
"Unid. Sanit. Santa Ana","","","3 De Febrero","2590","","","San Andrés","San Martín","Buenos Aires","Región Sanitaria V","4512-6228","Consejería Lunes 10 a 11.30 hs.","","","","","","","","-34.5641395","-58.5338515","0.9",""
"Hospital Diego Thompson","","","Avellaneda","33","","","San Martín","San Martín","Buenos Aires","Región Sanitaria V","4830-0687/0684","Consejería Consultorios 21 y 22 Lunes de 14 a 17 hs. y Jueves 9.30 a 12.30 hs.","","","","","","","","-34.5992059","-58.3742177","0.7",""
"Centro De Salud Nº 12 V. Piaggio","","","Parravicini","740","","","Villa Piaggio","San Martín","Buenos Aires","Región Sanitaria V","4830 0710","","","","","","","","","-34.5856526","-58.52320339999999","0.9",""
"Hospital Local Dr. Enrique Marengo","","","República","10","","","Villa Ballester","San Martín","Buenos Aires","Región Sanitaria V","4847-5032/5038","Consejería: Martes 9 a 11 hs.","","","","","","","","-34.5716581","-58.50897789999999","0.9",""
"Centro Salud Nº 3 V. Concepción","","","Independencia","876","","","Villa Concepción","San Martín","Buenos Aires","Región Sanitaria V","4830-0711 / 0723","Consejería: Martes 13 a 15 hs.","","","","","","","","-34.5452425","-58.52873749999999","0.9",""
"Centro De Salud Nº 15","","","Iberá","7456","","","Villa Lanzone","San Martín","Buenos Aires","Región Sanitaria V","4513-5121","Consejería: Martes y Jueves de 11 a 12 hs.","","","","","","","","-34.573545","-58.502945","0.9",""
"Centro De Salud Nº 19","","","La Crujía","5643","","","Villa Libertad","San Martín","Buenos Aires","Región Sanitaria V","4830-0310","Consejería Miércoles 9.30 a 13 hs.","","","","","","","","-34.582337","-58.5618906","0.9",""
"Centro de Salud Nº 13","","","Azcuénaga","4061","","","Villa Lynch","San Martín","Buenos Aires","Región Sanitaria V","4830-0709","Consejería: Lunes de 9 a 11 hs. y Viernes 9 a 11 hs.","","","","","","","","-34.5927921","-58.5249391","0.9",""
"Centro de Salud Nº17 (Barrio Necochea)","","","Mitre (calle 33)","","","Obligado","Villa Hidalgo","San Martín","Buenos Aires","Región Sanitaria V","4508-4090","Consejería: Lunes de 9 a 12 hs.","","","","","","","","-34.57595060000001","-58.5372696","0.5",""
"Hospital Manuel Belgrano","","","Av. de los Constituyentes","3120","","","Villa Zagala","San Martín","Buenos Aires","Región Sanitaria V","4755-2228/3380","Consejería Jueves 9 a 12 hs.","","","","","","","","-34.5502601","-58.52470289999999","0.9",""
"Centro de Salud Nº 16","","","Pasaje A","","","e/ 66 Y 68","Villa Zagala","San Martín","Buenos Aires","Región Sanitaria V","4830-0690","Consejería: Miércoles 10 a 12 hs.","","","","","","","","-34.5672117","-58.5395038","0.7",""
"Centro de Salud Nº 5  Dr. Ramón Carrillo","","","Ocampo Esq. Maipú","Alt. Ruta 8 Km. 18","","","Villa Zapiola","San Martín","Buenos Aires","Región Sanitaria V","4513-5126","","","","","","","","","-34.57595060000001","-58.5372696","0.5",""
"Hospital Zonal “Zenón Videla Dorna”","","distribución y testeo","Villa Dorna","851","","","San Miguel del Monte","San Miguel del Monte","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.437767","-58.80670550000001","0.5",""
"Hospital Zonal de Agudos “San Felipe”","","","Moreno","31","","","San Nicolás","San Nicolás","Buenos Aires","Región Sanitaria IV","(03461) 422897 / 422880 / 422054","","","","","","","","","-33.3665829","-60.2554865","0.9",""
"Programa Municipal de Lucha contra el VIH-sida","","","","","","","San Nicolás","San Nicolás","Buenos Aires","Región Sanitaria IV","03461 - 5088 35 / 36","","","","","","","","","-34.6045547","-58.3802473","0.5",""
"Hospital Municipal Subzonal San Pedro","","","25 De Mayo","1901","","","San Pedro","San Pedro","Buenos Aires","Región Sanitaria IV","(03329)-425207 /4245555","","","","","","","","","-33.6850129","-59.6723657","0.9",""
"Hospital Municipal Subzonal “General Dr. Ramón Carrillo”","","distribución y testeo","Matheu","","","Larrea","San Vicente","San Vicente","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-35.0212723","-58.4391756","0.7",""
"Hospital Municipal “Ismael Ferrari\"","","distribución y testeo","San Martín","275","","","Tordillo","Tordillo","Buenos Aires","Región Sanitaria XI","","","","","","","","","","-36.51943869999999","-57.32550799999999","0.7",""
"Hospital de Tres Arroyos","","Testeo","Av. 1ra. Junta","400","","","Tres Arroyos","Tres Arroyos","Buenos Aires","Región Sanitaria I","(02983) 433160","","","","","","","","","-38.3720152","-60.2621558","0.9",""
"Hospital Interzonal “Dr Ramón Carrillo”","","","Hipolito Irigoyen","1051","","","Ciudadela","Tres de Febrero","Buenos Aires","","","","","","","","","","","-34.62765830000001","-58.5539321","0.7",""
"Hospital Zonal Esp. de Agudos y Crónicos “Dr. Antonio Cetrángolo”","","","Italia","1750","","","Vicente López","Vicente López","Buenos Aires","Región Sanitaria V","4791-2090/8663","","","","","","","","","-34.5213943","-58.4895388","0.9",""
