establecimiento,tipo,distribución-testeo,calle,altura,piso_depto,cruce,barrio_localidad,partido_comuna_dpto,provincia,región sanitaria,teléfono,horario atención,web,mail,unidad coordinadora,responsable,UC mail,UC web,observaciones
Hospital Zonal General de Agudos “Dr. Narciso López”,,,O´Higgins ,1333,,,Lanús,Lanús,Buenos Aires,Región Sanitaria VI,4241-2749/4184/4240,,,,,,,,
Hospital: Servicio Zonal de Oncología de,,,Pringles ,1245,,,Lanús,Lanús,Buenos Aires,Región Sanitaria VI,4241-2968,,,,,,,,
Hospital Interzonal General de Agudos “Evita”,,,Rio de Janeiro,1910,,,Lanús,Lanús,Buenos Aires,Región Sanitaria VI,4241-5186 al 89/ 5844/4050 al 59,,,,,,,,
"Hospital Local General de Agudos “Dr.
Arturo Melo”",,,Avda Lujan,3050,,,Remedios De Escalada,Lanús,Buenos Aires,Región Sanitaria VI,4246-0868/6491/0608/4525/4530,,,,,,,,
Hospital Municipal “Dr. Francisco Quijano”,,distribución y testeo,Desvío Ruta 57,S/N,,,Lezama,Lezama,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital Municipal Dr. Rubén Miravalle,,Testeo,Avenida San Lorenzo ,"2000, 6070",,,Lincoln,Lincoln,Buenos Aires,Región Sanitaria III,(02355) 421400-421600,,,,,,,,
Hospital Interzonal General de Agudos “Luisa C. de Gandulfo “,,,Balcarce,351,,,Lomas de Zamora,Lomas de Zamora,Buenos Aires,Región Sanitaria VI,011-42435555,,,,,,,,
Hospital Interzonal Especializado “Dr. J.A. Estevez”,,,Garibaldi,1661,,,Lomas de Zamora,Lomas de Zamora,Buenos Aires,Región Sanitaria VI,4298-1931/0091 al 93/4873,,,,,,,,
"Unidad Sanitaria Araoz Alfaro Municipalidad
de Lomas de Zamora",,,H.Yrigoyen,10067,,,Temperley,Lomas de Zamora,Buenos Aires,Región Sanitaria VI,011-42399689,,,,,,,,
Hospital Local Materno Infantil Oscar Alende,,,Claudio De Alas ,2584,,,Ingeniero Budge,Lomas de Zamora,Buenos Aires,Región Sanitaria VI,4285-1816,,,,,,,,
Hosp.Municipal Ntra Sra de Luján,,,San Martín,175,,,Luján,Luján,Buenos Aires,,(02323) 4424- 870,,,,,,,,
Hospital Interzonal Especializado Colonia (Opendoor),,,Av. Domingo Cabret,,,y Juan De Dios Filiberto,Luján,Luján,Buenos Aires,,(02323) 449-6061/6247/6249,,,,,,,,
"Hospital Municipal Subzonal “Santa María Magdalena""",,distribución y testeo,Las Heras,385,,,Magdalena,Magdalena,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital Subzonal de Médanos,,Testeo,Matheu S/N,,,,Médanos,Médanos,Buenos Aires,Región Sanitaria I,(02927) 432268,,,,,,,,
Hospital Zonal General “Blas Dubarry”,,,12,285,,,Mercedes,Mercedes,Buenos Aires,Región Sanitaria X,(02324) 425555 / 423618,,,,,,,,
Hospital Municipal Eva Perón,,,Colón ,451,,,Merlo,Merlo,Buenos Aires,,,,,,,,,,
Hospital Héroes de Malvinas,,,R. Balbin ,1910,,,Merlo,Merlo,Buenos Aires,,,,,,,,,,
Hospital Materno / Infantil Pontevedra,,,Capitán Giachino ,2220,,,Pontevedra,Merlo,Buenos Aires,,(0220) 492 - 0242,,,,,,,,
Hospital Municipal Materno Infantil Pedro Chutro,,,Chubut ,368,,,S.A. de Padua,Merlo,Buenos Aires,,(0220) 482 - 2309,,,,,,,,
"Hospital Zonal General “Mariano y Luciano
De La Vega”",,,Libertador ,710,,,Moreno,Moreno,Buenos Aires,,(0237) 42-5946 /5954/0038,,,,,,,,
Hospital Interzonal General de Agudos “Dr. Luis A. Güemes”,,,Rivadavia 15000,710,,,Haedo,Morón,Buenos Aires,,4659-2011 / 2018 Int 167,,,,,,,,
Hospital Nacional Prof. Dr. A. Posadas,,,Marconi ,,,y Pte. Illia,Villa Sarmiento,Morón,Buenos Aires,,,,,,,,,,
Hospital de Morón,,,Dr. Monte,838,consultorio 38 (PB),,Morón,Morón,Buenos Aires,,4627-2986,"Martes, jueves y viernes, de 11 a 13 hs
1º viernes de cada mes, vespertino de
19 a 21 hs. Extracción en el momento de la asesoría
y el resultado está a la semana.",,,,,,,
Hospital Emilio Ferreira,,,59,480,,,Necochea,Necochea,Buenos Aires,Región Sanitaria VIII,02262-428463,,,,,,,,
Hospital Irurzún,,,541,3550,,,Quequen,Necochea,Buenos Aires,Región Sanitaria VIII,02262-450050,,,,,,,,
Hospital Local Especializado en Salud Mental,,,5,S/N,,,Hinojo,Olavarría,Buenos Aires,Región Sanitaria IX,02284-49-1052,,,,,,,,
Hospital Subzoanl General,,,Int. Guaresti,S/N,,,Las Flores,Olavarría,Buenos Aires,Región Sanitaria IX,02284-42893 /2114,,,,,,,,
Hospital Zonal Especializado de Oncología “Luciano Fortabat”,,,Rivadavia ,4057,,,Olavarría,Olavarría,Buenos Aires,Región Sanitaria IX,,,,,,,,,
Hospital Pedro Luro,,Testeo,26,81,,,Pedro Luro,Pedro Luro,Buenos Aires,Región Sanitaria I,(02928) 420185,,,,,,,,
"Hospital Interzonal General De Agudos “San José""",,,Liniers,950,,,Pergamino,Pergamino,Buenos Aires,Región Sanitaria IV,(02477) 42-9791 Al 99 (02477) 42-4183,,,,,,,,
Hospital Municipal de Pila,,distribución y testeo,6,,,esq. 11,Pila,Pila,Buenos Aires,Región Sanitaria XI,,,,,,,,,
"Hospital Zonal Gral de Agudos “Cecilia Grierson""",,distribución y testeo,Av Gral. Fernández de la Cruz,4402,,,Guernica,Presidente Perón,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital Municipal de La Comunidad “Dr. Guillermo Hernández”,,distribución y testeo,Base Aeronaval,,,,Punta Indio,Punta Indio,Buenos Aires,Región Sanitaria XI,,,,,,,,,
"Hospital Zonal General de Agudos “Dr I.
Iriarte”",,,Allison Bell,770,,,Quilmes,Quilmes,Buenos Aires,Región Sanitaria VI,4253-2690/6021 al 23,,,,,,,,
"Instituto Municipal de Medicina Preventiva
Dr. R. Carrillo",,,Marcelo T. Alvear ,,,esq. Islas Malvinas,Quilmes,Quilmes,Buenos Aires,Región Sanitaria VI,011- 4224-5636/ 4224-5634 / 4253-7733 / 4253-7923,,,,,,,,
Centro Asistencial Modelo Don Bosco,,,Pringles 1010 ,,,e/ Misiones y Formosa,Don Bosco,Quilmes,Buenos Aires,Región Sanitaria VI,"Fax: 4251-6395
Tel: 4251-6396",,,,,,,,
Hospital Subzonal Materno Infantil Dr. Oller,,,844,2100,,,San Francisco Solano,Quilmes,Buenos Aires,Región Sanitaria VI,011-4212-2976,,,,,,,,
Hospital Municipal José Gomendio,,,J. M. Gomendio,1374,,,Ramallo,Ramallo,Buenos Aires,Región Sanitaria IV,(03407)-421555/421666,,,,,,,,
Hospital Municipal de Rauch,,,Alberti ,450,,,Rauch,Rauch,Buenos Aires,Región Sanitaria IX,02297-44-2620,,,,,,,,
Servicio Local de Psiquiatría para Crónicos “Eliseo Mañay”,,,Colón,S/N,,,Rauch,Rauch,Buenos Aires,Región Sanitaria IX,02286-49-4002/4202,,,,,,,,
Hospital Geriátrico para Crónicos,,,Irigoyen,,,Otaño,Rauch,Rauch,Buenos Aires,Región Sanitaria IX,02297-42075,,,,,,,,
Hospital Saturnino Unzué,,,Avda. 25 De Mayo ,717,,,Rojas,Rojas,Buenos Aires,Región Sanitaria IV,(02475)-465342 / 465316 / 465410,,,,,,,,
Hospital Zonal General “Dr Posadas”,,,Dr. Emparanza ,2753,,,Saladillo,Saladillo,Buenos Aires,Región Sanitaria X,,,,,,,,,
Hospital Local Gral.,,,Libertad 520,2753,,,Salto,Salto,Buenos Aires,Región Sanitaria IV,(02474)-425083 / 431020,,,,,,,,
Hospital Municipal Local Emilio Zerboni,,,Lavalle ,S/N,,,San Antonio de Areco,San Antonio de Areco,Buenos Aires,Región Sanitaria IV,(02326)-452391 / 452345,,,,,,,,
Hospital Municipal “Valentín Nores”,,,Maipú ,,,Casareto,Tigre,San Fernando,Buenos Aires,Región Sanitaria V,4731-7600,,,,,,,,
Centro de Orientación Social,,,Ayacucho ,1432,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4746-4523 ,,www.facebook.com/vihsanfernando," 
vih@sanfernando.gov.ar",,Responsable: Mariano Schettini,,,
Centro De Salud Bertres,,,Azcuénaga,1745,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4714-6214,,,,,Responsable: Adriana Bravo,,,
Centro de Salud Gálvez,,,Portugal,2276,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4714-1664,,,,,Responsable: Jorge Kavic,,,
Centro de Salud Reineke,,,Alvear,,,Cerbetto,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,Tel: 4746-4132,,,,,Responsable: Cynthia Sánchez,,,
Centro de Salud Di Matteo,,,Sarmiento ,,,3244,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4744-1718,,,,,Responsable: Lidia Cáseres,,,
Centro de Salud Nº 66,,,Balcarce ,,,2959,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4714-5159,,,,,Responsable: Andrea Pérez / Paula Ponte,,,
Centro de Salud Crisol,,,Martín Rodríguez,,,Tucumán,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4746-4126,,,,,Responsable: Mariana Vila,,,
Centro de Salud Piaggi,,,Málaga,,,Garibaldi,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4714-7094,,,,,Responsable: Ma. del Carmen De Filippis,,,
Centro de Salud María Isabel,,,Arenales ,3220,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4746-1941,,,,,Marisa Barroso / Pablo Reyes,,,
Centro de Salud Nº 31,,,Garibaldi ,2727,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4746-3921,,,,,Responsable: Paula Ponte / Olga Abriola,,,
Centro Sanitario Villa Jardín,,,Guatemala,3069,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4714-6746 / 8746,,,,,Responsable: Catalina Gerase,,,
Centro de Salud Nº 26,,,Maipú,2354,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4746-4132,,,,,Responsable: Ma. Del Carmen De Filippis,,,
Centro de Salud Nº 27,,,25 De Mayo,2290,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4744-3138,,,,,Responsable : Mariana Vila,,,
Hospital Zonal General de Agudos “Magdalena V De Martínez “,,,Williams ,166,,,Tigre,San Fernando,Buenos Aires,Región Sanitaria V,4736-0132/0154,,,,,,,,
Hospital Zonal General de Agudos “Petrona V. De Cordero”,,,Belgrano ,1955,,,San Fernando,San Fernando,Buenos Aires,Región Sanitaria V,4744-2693/5885/2624/3374/4557/4750,,,,,,,,
Region Sanitaria Nº5 San Isidro,,,Acassuso,715,,,San Isidro,San Isidro,Buenos Aires,Región Sanitaria V,4747 2885,,,,,,,,
"Unidad Sanitaria Nº 8, Héroes de Malvinas",,,Av. Luis María Campos,2152,,,San Martín,San Martín,Buenos Aires,Región Sanitaria V,4830-0708,Consejería Martes 10.30 a 12 hs.,,,,,,,
"Hospital Interzonal General de Agudos “Eva Perón""",,,Balbín ,900,,,San Martín,San Martín,Buenos Aires,Región Sanitaria V,4724-3000 al 4724-3010,,,,,,,,
"Unid. Sanit. Nº 6, Barrio Libertador",,,Pensamientos,5231,,,Barrio Libertador,San Martín,Buenos Aires,Región Sanitaria V,4513-5122,Consejería Miércoles 10 a 12 hs.,,,,,,,
Centro de Salud Nº 14 Barrio UTA,,,Bartolomé Mitre (calle 39),1253,,,Loma Hermosa,San Martín,Buenos Aires,Región Sanitaria V,4513 5120 / 4513 5124,,,,,,,,
Centro de Salud Nº 9 Billinghurst,,,1º Junta,5745,,,Billinghurst,San Martín,Buenos Aires,Región Sanitaria V,4512 7040,Consejería Miércoles 9 a 12 hs.,,,,,,,
Hospital Local Alexander Fleming,,,Av. Márquez ,,,9 de Julio,José León Suárez,San Martín,Buenos Aires,Región Sanitaria V,4580-1045/1050,Consejería Lunes A Viernes 8 a 12 hs. Viernes 19 a 21.30 hs.,,,,,,,
Centro Salud Nº 4 - Dr. Luis Agote,,,Diag. 55 J.V.González ,50,,,José León Suárez,San Martín,Buenos Aires,Región Sanitaria V,4580-1057/1056,Martes 10 a 12 hs.,,,,,,,
"Centro De Salud Nº10, V. Esperanza",,,Garibaldi ,1897,,,José León Suárez,San Martín,Buenos Aires,Región Sanitaria V,4580-1042,"Consejería: Lunes, Martes, Miércoles 8.30 a 14 hs.",,,,,,,
Unid. Sanit. Santa Ana,,,3 De Febrero,2590,,,San Andrés,San Martín,Buenos Aires,Región Sanitaria V,4512-6228,Consejería Lunes 10 a 11.30 hs.,,,,,,,
Hospital Diego Thompson,,,Avellaneda,33,,,San Martín,San Martín,Buenos Aires,Región Sanitaria V,4830-0687/0684,Consejería Consultorios 21 y 22 Lunes de 14 a 17 hs. y Jueves 9.30 a 12.30 hs.,,,,,,,
Centro De Salud Nº 12 V. Piaggio,,,Parravicini,740,,,Villa Piaggio,San Martín,Buenos Aires,Región Sanitaria V,4830 0710,,,,,,,,
Hospital Local Dr. Enrique Marengo,,,República ,10,,,Villa Ballester,San Martín,Buenos Aires,Región Sanitaria V,4847-5032/5038,Consejería: Martes 9 a 11 hs.,,,,,,,
Centro Salud Nº 3 V. Concepción,,,Independencia,876,,,Villa Concepción,San Martín,Buenos Aires,Región Sanitaria V,4830-0711 / 0723,Consejería: Martes 13 a 15 hs.,,,,,,,
Centro De Salud Nº 15,,,Iberá ,7456,,,Villa Lanzone,San Martín,Buenos Aires,Región Sanitaria V,4513-5121,Consejería: Martes y Jueves de 11 a 12 hs.,,,,,,,
Centro De Salud Nº 19,,,La Crujía ,5643,,,Villa Libertad,San Martín,Buenos Aires,Región Sanitaria V,4830-0310,Consejería Miércoles 9.30 a 13 hs.,,,,,,,
Centro de Salud Nº 13 ,,,Azcuénaga ,4061,,,Villa Lynch,San Martín,Buenos Aires,Región Sanitaria V,4830-0709,Consejería: Lunes de 9 a 11 hs. y Viernes 9 a 11 hs.,,,,,,,
Centro de Salud Nº17 (Barrio Necochea),,,Mitre (calle 33),,,Obligado,Villa Hidalgo,San Martín,Buenos Aires,Región Sanitaria V,4508-4090,Consejería: Lunes de 9 a 12 hs.,,,,,,,
Hospital Manuel Belgrano,,,Av. de los Constituyentes,3120,,,Villa Zagala,San Martín,Buenos Aires,Región Sanitaria V,4755-2228/3380,Consejería Jueves 9 a 12 hs.,,,,,,,
Centro de Salud Nº 16,,,Pasaje A ,,,e/ 66 Y 68,Villa Zagala,San Martín,Buenos Aires,Región Sanitaria V,4830-0690,Consejería: Miércoles 10 a 12 hs.,,,,,,,
Centro de Salud Nº 5  Dr. Ramón Carrillo,,,Ocampo Esq. Maipú,Alt. Ruta 8 Km. 18,,,Villa Zapiola,San Martín,Buenos Aires,Región Sanitaria V,4513-5126,,,,,,,,
Hospital Zonal “Zenón Videla Dorna”,,distribución y testeo,Villa Dorna,851,,,San Miguel del Monte,San Miguel del Monte,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital Zonal de Agudos “San Felipe”,,,Moreno,31,,,San Nicolás,San Nicolás,Buenos Aires,Región Sanitaria IV,(03461) 422897 / 422880 / 422054,,,,,,,,
Programa Municipal de Lucha contra el VIH-sida,,,,,,,San Nicolás,San Nicolás,Buenos Aires,Región Sanitaria IV,03461 - 5088 35 / 36,,,,,,,,
Hospital Municipal Subzonal San Pedro,,,25 De Mayo ,1901,,,San Pedro,San Pedro,Buenos Aires,Región Sanitaria IV,(03329)-425207 /4245555,,,,,,,,
Hospital Municipal Subzonal “General Dr. Ramón Carrillo”,,distribución y testeo,Matheu,,,Larrea,San Vicente,San Vicente,Buenos Aires,Región Sanitaria XI,,,,,,,,,
"Hospital Municipal “Ismael Ferrari""",,distribución y testeo,San Martín,275,,,Tordillo,Tordillo,Buenos Aires,Región Sanitaria XI,,,,,,,,,
Hospital de Tres Arroyos,,Testeo,Av. 1ra. Junta,400,,,Tres Arroyos,Tres Arroyos,Buenos Aires,Región Sanitaria I,(02983) 433160,,,,,,,,
Hospital Interzonal “Dr Ramón Carrillo”,,,Hipolito Irigoyen ,1051,,,Ciudadela,Tres de Febrero,Buenos Aires,,,,,,,,,,
Hospital Zonal Esp. de Agudos y Crónicos “Dr. Antonio Cetrángolo”,,,Italia ,1750,,,Vicente López,Vicente López,Buenos Aires,Región Sanitaria V,4791-2090/8663,,,,,,,,
Hospital Zonal Especializado Odontología y Ortodoncia “Dr. Juan Ubaldo Carrea”,,,Juan De Garay ,2478,,,Olivos,Vicente López,Buenos Aires,Región Sanitaria V,4799-7504,,,,,,,,
Centro Asistencial de Hilario Ascasubi,,Testeo,Ing. Urgoitti ,269,,,Villarino,Villarino,Buenos Aires,Región Sanitaria I,(02928) 491055,,,,,,,,
Instituto Municipal de Resolución Inmediata,,,Rodo,300,,Esq. Tupac Amaru,Wilde,Wilde,Buenos Aires,Región Sanitaria VI,,,,,,,,,
"Hospital Municipal de Avellaneda “Dr.
Eduardo Wilde”",,,Baradero,5808,,,Wilde,Wilde,Buenos Aires,Región Sanitaria VI,5227-7667/7624,,,,,,,,
Hospital Zonal General de Agudos “Vírgen del Carmen”,,,Pagola ,1502,,,Zárate,Zárate,Buenos Aires,Región Sanitaria V,(03487) 42-2300/3060,,,,,,,,
A.T.T.T.A,,Testeo,Callao,339,5º,,Congreso,,CABA,,5032-6335,"Lunes y Jueves de 16.30 a 20 hs.",www.atta.org.ar,,,,,,Sin turno y con 3 horas de ayuno solamente.
Ce.P.A.D - Ctera,,,Virrey Liniers,1043,,,,,CABA,,4957-6635 interno 105.,"""Lunes de 10 a 13 hs -
Miércoles de 9 a 12 hs.""",,prevencion@ctera.org.ar,,,,,"Gratuito, voluntario, confidencial, sin ayuno
y sin turnos."
Centro de Salud N° 13,,,Directorio ,4210,,,Parque Avellaneda,,CABA,,,,,,,,,,
Centro de Salud N° 38,,,Medrano,350,,,Almagro,,CABA,,4958-4783,"Martes de 8 a 9.30 y de 16.30 a 18 hs.
Miércoles de 8 a 9.30 hs.",,,,,,,
Centro de Salud Nº 15,,,Humberto 1º ,470,,,San Telmo,Monserrat,CABA,,,,,,,,,,
Centro de Salud Nº 18,,,,,,,,,CABA,,,,,,,,,,
Centro de Salud Nº 2,,,Terrada,5850,,,Villa Pueyrredón,,CABA,,,,,,,,,,
Centro de Salud Nº 20,,,Ana María Janer,,,Charrúa,Bajo Flores,Soldati,CABA,,,,,,,,,,
Centro de Salud Nº 21,,,5,,,10,Retiro,Retiro,CABA,,,,,,,,,,
Centro de Salud Nº 22,,,Guzmán ,90,,,Villa Crespo,,CABA,,,,,,,,,,
Centro de Salud Nº 24,,,Pasaje L,,,Pasaje L S/ Número e/ M. Castro y Laguna,Flores,,CABA,,,,,,,,,,
Centro de Salud Nº 33,,,Cordoba ,5741,,,Palermo,Colegiales,CABA,,5197 5078/9,"Horario: Lunes, Martes de 14 a 18.30, Jueves
de 16 a 18.30 hs.",,,,,,,
Centro de Salud Nº 35,,,Osvaldo Cruz,,,Zavaleta,Barracas,,CABA,,4301-8720,,,,,,,,
Centro de Salud Nº 39,,,24 de Noviembre,1679,,,,,CABA,,4911-3576,,,,,,,,
Centro de Salud Nº 40,,,Esteban Bonorino,1729,,,Bajo Flores,,CABA,,4631-4554,,,,,,,,
Centro de Salud Nº 41,,,Ministro Brin,842,,,,,CABA,,4361-8736,,,,,,,,
Centro de Salud Nº 5,,,Av Piedrabuena,3200,,,Villa Lugano,Mataderos,CABA,,,,,,,,,,
Centro de Salud Nº 7,,,2 De Abril de 1982,,,Montiel,Villa Lugano,Mataderos,CABA,,,,,,,,,,
Centro de Salud Nº 9,,,Irala ,1254,,,La Boca,Barracas,CABA,,,,,,,,,,
Consejo del Menor y la Familia,,Testeo,Paz Soldàn,5200,,,Paternal,,CABA,,4523-2326/27/28,,,,,,,,
Fundai,,Testeo,Uspallata,2272,,,Parque Patricios,,CABA,,4304-3332,Lunes a Viernes de 7 a 8:30 hs.,,,,,,,
Hospital A.Zubizarreta,HOSPITAL,Testeo,New York,3952,,,Villa Devoto,,CABA,,4501-0683,,,,,,,,
Hospital B.Rivadavia,HOSPITAL,Testeo,Avenida Las Heras,2670,,,Palermo,,CABA,,4809-2000,,,,,,,,
Hospital D.Vélez Sarfield  ,HOSPITAL,Testeo,Calderón de la Barca,1550,,,Liniers,,CABA,,4639-8700 al 05,,,,,,,,
Hospital Donación F. Santojanni,HOSPITAL,Testeo,Pilar,950,,,Mataderos,,CABA,,4630-5500,,,,,,,,
Hospital Dr. Juan P. Garrahan ,HOSPITAL,Testeo,Combate de Los Pozos,,,Brasil,Constitucion,,CABA,,4308-4300; Fax: 4308 – 5325,,,,,,,,
Hospital Dr.C.Argerich,HOSPITAL,Testeo,Pi,750,,Margal,La Boca,,CABA,,4362-5555 / 0420 / 5811,,,,,,,,
Hospital F.Muñiz,HOSPITAL,Testeo,Uspallata,2272,,,Parque Patricios,,CABA,,"4304-2180, Int. 222",,,,,,,,
Hospital General de Agudos “Dr. C. Durand”,,,Díaz Vélez,5044,,,Caballito,,CABA,,4982-5555/1050 Int 270,,,,,,,,
Hospital General de Agudos Dr. I. Pirovano,HOPITAL,Testeo,Monroe,3555,,,Belgrano,,CABA,,4542-5552,,,,,,,,
Hospital General de Agudos Dr.T.Alvarez,HOSPITAL,Testeo,J.F. Aranguren,2701,,,Flores,,CABA,,4611-6666 / 6409,,,,,,,,
Hospital J.A. Fernández,HOSPITAL,Testeo,Cerviño,3356,PB,,Palermo,,CABA,,4808-2626,,,,,,,,
Hospital J.A. Penna,HOSPITAL,Testeo,Pedro Chutro,3380,,,Parque Patricios,,CABA,,4911-5555/0517,,,,,,,,
Hospital Pedro de Elizalde,HOSPITAL,Testeo,Montes de Oca,40,,,Constitucion,,CABA,,4307-5842 / 5843 / 5844,,,,,,,,
Hospital Piñero  ,HOSPITAL,Testeo,Avenida Varela,1301,,,Flores,,CABA,,4634-3033,,,,,,,,
Hospital Ramos Mejia,HOSPITAL,Testeo,Urquiza ,609,,,Once,,CABA,,4931-5252,,,,,,,,
Hospital Ricardo Gutierrez,HOSPITAL,Testeo,Bustamante,1330,,,Palermo,,CABA,,4962-9212 / 9247 / 9248,,,,,,,,
Hospital Tornú        ,HOSPITAL,Testeo,Avenida Combatientes de Malvinas,3002,,,Chacarita-Paternal,,CABA,,4521-3600/8700/4485,,,,,,,,
Nexo (para población gay),,,Callao,339,5to Piso,,Centro,,CABA,,4374-4484/0-800-345-6396,De 16.30 a 20.30 hs.,,,,,,,
Hospital San Juan Bautista,HOSPITAL ,Testeo,Avenida Arturo Illia,200,,,Capital, ,CATAMARCA,,(0383) 437660/61,,,,,,,,Servicio de Infectologia Pediatrica
Hospital Avelino Castelan,HOSPITAL,Testeo,Juan B Justo ,1136,,,Resistencia,,CHACO,,,,,,,,,,
Hospital Perrando,HOSPITAL,Testeo,Avenida 9 de Julio,100,,,Resistencia,,CHACO,,(0362)422396/5944/,"Sin turno de Lunes a Viernes de 9 a 13 hs.",,,,,,,Consultorio de Diversidad Sexual.
Hospital Regional Comodoro Rivadavia,HOSPITAL,Testeo,H. Irigoyen ,950,,,Comodoro Rivadavia,,CHUBUT,,(0297)4471350/4442222,,,,,,,,
Sec.Des.Humano y Comunitario,SUBSECRETARIA DE SALUD,,Pellegrini,625,,,Comodoro Rivadavia,,CHUBUT,,(0297)4461151/4463494,,,,,,,,
Hospital Zonal Esquel,HOSPITAL,Testeo,25 de Mayo,110,,,Esquel,,CHUBUT,,(02945)450222,,,,,,,,
Hospital “Andrés Isola”,HOSPITAL,Testeo,Roberto Gomez,3383,,,Puerto Madryn,,CHUBUT,,(02965)451999,,,,,,,,
Hospital Subzonal Rawson “Santa Teresita”,HOSPITAL SUBZONAL,Testeo,Julio A Roca.,555,,,Rawson,,CHUBUT,,(02965)481819/1260,,,,,,,,
Hospital Zonal Trelew,HOSPITAL,Testeo,28 De Julio,440,,,Trelew,,CHUBUT,,(02965)421385/7542/7543,,,,,,,,
Hospital Rural Cholila,HOSPITAL,Testeo,Avenida Principal S/N,S/N,,,Cushamen,,CHUBUT,,(02945)498022,,,,,,,,
Hospital Rural El Hoyo,HOSPITAL,Testeo,Islas Malvinas ,S/N,,,El Hoyo,,CHUBUT,,(02944)471500,,,,,,,,
Hospital Subzonal El Maitén,HOSPITAL,Testeo,Patagonia,615,,,El Maiten,,CHUBUT,,(02945)495187,,,,,,,,
Hospital Rural Corcovado,HOSPITAL,Testeo,P. Moreno,S/N,,,Futaleufu,,CHUBUT,,(02945)494040,,,,,,,,
Hospital Rural Gaiman,HOSPITAL,Testeo,Gobernador E. Tello,1200,,,Gaiman,,CHUBUT,,(02965)491002.,,,,,,,,
Hospital Rural Dolavon,HOSPITAL,Testeo,Raul B. Diaz,275,,,Gaiman,,CHUBUT,,(02965)492023,,,,,,,,
Hospital Rural Lago Puelo,HOSPITAL,Testeo,Av. Islas Malvinas,,,,Lago Puelo,,CHUBUT,,499041,,,,,,,,
Hospital Rural Tecka,HOSPITAL,Testeo,M.Moreno,,,,Languiñeo,,CHUBUT,,493040,,,,,,,,
Hospital Rural Rio Senguer,HOSPITAL,Testeo,S.Juan Bosco,S/N,,,Rio Senguer,,CHUBUT,,(02945)497008/7070,,,,,,,,
Hospital Rural Rio Mayo,HOSPITAL,Testeo,Sarmiento,637,,,Rio Senguer,,CHUBUT,,(02903)420022,,,,,,,,
Hopital Rural Sarmiento,HOSPITAL,Testeo,Ing. Coronel Roca,S/N,,,Sarmiento,,CHUBUT,,(0297)3022/8199,,,,,,,,
Hospital Rural Trevelin,HOSPITAL,Testeo,Sarmiento,S/N,,,Trevelin,,CHUBUT,,480118,,,,,,,,
Hospital Dr. J.A. Ceballos,HOSPITAL,Testeo,Jerònimo del Barco,1300,,,Bell Ville,,CORDOBA,,(0353)421002,,,,,,,,
Hospital Rawson,HOSPITAL,Testeo,Bajada Pucarà,2029,,,Capital,,CORDOBA,, (0351)4348755/56,,,,,,,,
Aces          ,,,J.B. Justo,1243,,,Jesus Maria,,CORDOBA,,(03525)420407,,,,,,,,
Centro Municipal de Salud,,,Kennedy,S/N,,,Rio Ceballos,,CORDOBA,,(03543)451087,,,,,,,,
Hospital San antonio de Papua,HOSPITAL NUEVO,Testeo,Guardias Nacionales Esq. Rosario de Santa Fè,,,,Rio Cuarto,,CORDOBA,,(0358)4678700,,,,,,,,
Centro Asistencial Bº Sarmiento Nº 4,,,Rio Bermejo,S/N,,,Rio Tercero,,CORDOBA,,(03571)439262,,,,,,,,Centro de Integraciòn  Comunitaria
Centro Asistencial Bº Escuela Nº 1,,,Diego de Rojas Esq. Leopoldo Lugones,,,,Rio Tercero,,CORDOBA,,(03571)439271,,,,,,,,
Centro Asistencial Bº Belgrano Nº 11,,,Guillermo Marconi,1170,,,Rio Tercero ,,CORDOBA,,(03571)439271,,,,,,,,
Hospital Josefina Prieur,HOSPITAL,Testeo,Balbin,77,,,Villa Allende,,CORDOBA,,(03543)439290,,,,,,,,
Dispensario Municipal,,,Corrientes,61,,,Villa Gnal Belgrano,,CORDOBA,,(03546)461308,,,,,,,,
Hospital Ceprocor,HOSPITAL,Testeo,Arenales ,230,,,Capital,,CORDOBA,,(0351)4332401,,,,,,,,
Hospital Materno Neonatal,HOSPITAL,Testeo,Avenida Cardeñosa,2900,,,Capital,,CORDOBA,,(0351)4348357,,,,,,,,
Hospital de Niños,HOSPITAL,Testeo,Corrientes,643,,,Capital,,CORDOBA,,(0351)4342425,,,,,,,,
Hospital Privado,HOSPITAL,Testeo,Naciones Unidas ,346,,,Capital,,CORDOBA,,(0351)4688297,,,,,,,,
